Date,Revenue,COGS,orders_count,unique_customers,item_lines_count,total_quantity,total_discount_amount,avg_discount_amount,avg_discount_rate,promo_usage_rate,discount_to_gross_rate,web_sessions,web_unique_visitors,web_page_views,web_bounce_rate,web_avg_session_duration_sec,web_traffic_available,inventory_product_count,inventory_stock_on_hand,inventory_units_received,inventory_units_sold,inventory_stockout_days,inventory_stockout_rate,inventory_fill_rate,inventory_sell_through_rate,inventory_days_of_supply,inventory_overstock_rate,inventory_reorder_rate,inventory_snapshot_observed,inventory_data_available,returns_count,returned_orders_count,return_quantity,refund_amount,return_rate,day_of_week,month,quarter,year,is_weekend,time_index,post_2019_flag,lag_7,lag_14,lag_30,rolling_mean_7,rolling_mean_30
2012-07-04,5123547.94,3982991.19,162,161,174,777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2,7,3,2012,0,0,0,,,,,
2012-07-05,2751773.45,2150580.23,97,97,103,428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3,7,3,2012,0,1,0,,,,,
2012-07-06,3054029.42,2517632.84,93,93,99,441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4,7,3,2012,0,2,0,,,,,
2012-07-07,2667930.94,2108246.62,73,73,75,364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5,7,3,2012,1,3,0,,,,,
2012-07-08,2360851.9,1808622.79,88,87,94,394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,6,7,3,2012,1,4,0,,,,,
2012-07-09,3548386.46,2787841.68,137,137,157,730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,7,3,2012,0,5,0,,,,,
2012-07-10,5234938.62,4044438.84,183,182,203,928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,7,3,2012,0,6,0,,,,,
2012-07-11,5582884.78,4338313.07,221,221,243,1097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,4.0,6493.75,0.0036463081130355514,2,7,3,2012,0,7,0,5123547.94,,,3534494.104285714,
2012-07-12,5734632.02,4458811.27,246,243,275,1241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,1.0,4834.0,0.0008058017727639,3,7,3,2012,0,8,0,2751773.45,,,3600113.652857143,
2012-07-13,5309511.71,4143402.78,201,200,223,995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4,7,3,2012,0,9,0,3054029.42,,,4026236.305714286,
2012-07-14,3820831.41,3075464.87,157,154,173,751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,2.0,6.0,52967.0,0.007989347536617843,5,7,3,2012,1,10,0,2667930.94,,,4348448.061428571,
2012-07-15,3948841.28,3154482.05,149,148,162,732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,2.0,2.0,13534.619999999999,0.00273224043715847,6,7,3,2012,1,11,0,2360851.9,,,4513148.128571428,
2012-07-16,3503801.49,2708219.59,140,139,154,719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.0,3.0,4.0,16170.54,0.005563282336578581,0,7,3,2012,0,12,0,3548386.46,,,4740003.754285715,
2012-07-17,4476729.49,3463061.65,185,183,203,958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.0,3.0,5.0,22944.07,0.005219206680584551,1,7,3,2012,0,13,0,5234938.62,,,4733634.472857143,
2012-07-18,5184141.46,4072012.16,225,223,256,1085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,2.0,4.0,23202.75,0.003686635944700461,2,7,3,2012,0,14,0,5582884.78,5123547.94,,4625318.882857143,
2012-07-19,6421487.11,5007270.91,263,259,289,1322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5.0,5.0,11.0,35697.71,0.00832072617246596,3,7,3,2012,0,15,0,5734632.02,2751773.45,,4568355.551428571,
2012-07-20,5171470.46,4213989.64,231,230,258,1227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,1.0,1511.59,0.0008149959250203749,4,7,3,2012,0,16,0,5309511.71,3054029.42,,4666477.707142857,
